Index,STRIKE_PRC,CF_CLOSE,IMP_VOLT,S0,Date,TTM,Rate,Sigma,LN (S/K),(r + sigma**2 / 2),sigma * sqrt(TTM),d1,N(-d1),d2,N(-d2),Put Premium,Delta Premium,Put Call Parity,Call Premium,Imp Vola Call,Delta Premium
0.00,9850.00,283.10,37.31,10337.02,43966.00,0.10,-0.06,0.37,0.05,0.01,0.12,0.42,0.34,0.31,0.38,283.10,0.00,711.31,750.40,37.36,-39.09
1.00,9900.00,296.30,36.84,10337.02,43966.00,0.10,-0.06,0.37,0.04,0.01,0.11,0.39,0.35,0.27,0.39,296.30,0.00,675.98,713.70,36.87,-37.72
2.00,9950.00,310.10,36.37,10337.02,43966.00,0.10,-0.06,0.36,0.04,0.01,0.11,0.35,0.36,0.23,0.41,310.10,0.00,641.31,677.50,36.40,-36.19
3.00,10000.00,324.70,35.89,10337.02,43966.00,0.10,-0.06,0.36,0.03,0.01,0.11,0.30,0.38,0.19,0.42,324.70,0.00,606.79,642.00,35.92,-35.21
4.00,10050.00,340.10,35.42,10337.02,43966.00,0.10,-0.06,0.35,0.03,0.01,0.11,0.26,0.40,0.15,0.44,340.10,0.00,573.11,607.20,35.45,-34.09
5.00,10100.00,355.90,34.94,10337.02,43966.00,0.10,-0.05,0.35,0.02,0.01,0.11,0.22,0.41,0.11,0.46,355.90,0.00,540.27,573.10,34.97,-32.83
6.00,10150.00,372.50,34.46,10337.02,43966.00,0.10,-0.05,0.34,0.02,0.01,0.11,0.18,0.43,0.07,0.47,372.50,0.00,508.10,539.70,34.49,-31.60
7.00,10200.00,390.00,33.99,10337.02,43966.00,0.10,-0.05,0.34,0.01,0.01,0.11,0.13,0.45,0.03,0.49,390.00,0.00,476.83,507.20,34.02,-30.37
8.00,10250.00,408.30,33.52,10337.02,43966.00,0.10,-0.05,0.34,0.01,0.01,0.10,0.09,0.47,-0.02,0.51,408.30,0.00,446.38,475.40,33.53,-29.02
9.00,10300.00,427.50,33.04,10337.02,43966.00,0.10,-0.05,0.33,0.00,0.01,0.10,0.04,0.48,-0.06,0.52,427.50,0.00,416.47,444.50,33.06,-28.03
10.00,10350.00,447.60,32.56,10337.02,43966.00,0.10,-0.05,0.33,0.00,0.01,0.10,-0.01,0.50,-0.11,0.54,447.60,0.00,387.43,414.50,32.57,-27.07
11.00,10400.00,468.60,32.09,10337.02,43966.00,0.10,-0.05,0.32,-0.01,0.01,0.10,-0.06,0.52,-0.16,0.56,468.60,0.00,359.55,385.50,32.11,-25.95
12.00,10450.00,490.60,31.61,10337.02,43966.00,0.10,-0.05,0.32,-0.01,0.00,0.10,-0.11,0.54,-0.20,0.58,490.60,0.00,332.35,357.40,31.62,-25.05
13.00,10500.00,513.60,31.14,10337.02,43966.00,0.10,-0.04,0.31,-0.02,0.00,0.10,-0.16,0.56,-0.25,0.60,513.60,0.00,306.33,330.50,31.16,-24.17
14.00,10550.00,537.60,30.67,10337.02,43966.00,0.10,-0.04,0.31,-0.02,0.00,0.09,-0.21,0.58,-0.31,0.62,537.60,0.00,281.32,304.40,30.68,-23.08
15.00,10600.00,562.60,30.19,10337.02,43966.00,0.10,-0.04,0.30,-0.03,0.00,0.09,-0.26,0.60,-0.36,0.64,562.60,0.00,257.17,279.40,30.19,-22.23
16.00,10650.00,588.90,29.73,10337.02,43966.00,0.10,-0.04,0.30,-0.03,0.00,0.09,-0.32,0.63,-0.41,0.66,588.90,0.00,234.35,255.70,29.74,-21.35
17.00,10700.00,616.30,29.29,10337.02,43966.00,0.10,-0.04,0.29,-0.03,0.00,0.09,-0.38,0.65,-0.47,0.68,616.30,0.00,212.95,233.00,29.29,-20.05
18.00,10750.00,645.10,28.87,10337.02,43966.00,0.10,-0.04,0.29,-0.04,0.00,0.09,-0.43,0.67,-0.52,0.70,645.10,0.00,192.84,211.80,28.86,-18.96
19.00,10800.00,675.00,28.44,10337.02,43966.00,0.10,-0.04,0.28,-0.04,0.00,0.09,-0.49,0.69,-0.58,0.72,675.00,0.00,173.66,191.60,28.44,-17.94
20.00,10850.00,706.40,28.05,10337.02,43966.00,0.10,-0.04,0.28,-0.05,0.00,0.09,-0.55,0.71,-0.64,0.74,706.40,0.00,156.06,172.90,28.05,-16.84
